epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.6117695569992065,0.0010000000474974513,0.5182130336761475,0.8616241216659546,0.2203701138496399
1,0.86745285987854,0.0010000000474974513,0.21373263001441956,0.9029918313026428,0.162886381149292
2,0.9091550707817078,0.0010000000474974513,0.15914031863212585,0.923420786857605,0.13580015301704407
3,0.9287514090538025,0.0010000000474974513,0.13343092799186707,0.9483197927474976,0.10537424683570862
4,0.9399366974830627,0.0010000000474974513,0.11827719956636429,0.953809380531311,0.09793516993522644
5,0.9493770003318787,0.0010000000474974513,0.10698512941598892,0.9566325545310974,0.09362991899251938
6,0.9546412825584412,0.0010000000474974513,0.10107732564210892,0.9670627117156982,0.08226561546325684
7,0.9593467116355896,0.0010000000474974513,0.09466389566659927,0.9651021361351013,0.08331334590911865
8,0.9630424976348877,0.0010000000474974513,0.0902903750538826,0.9683566689491272,0.07831549644470215
9,0.9654638171195984,0.0010000000474974513,0.0872483178973198,0.9727482795715332,0.07493586093187332
10,0.9681988954544067,0.0010000000474974513,0.08429563045501709,0.968474268913269,0.07813622057437897
11,0.9699046015739441,0.0010000000474974513,0.08229263126850128,0.9768262505531311,0.06945130974054337
12,0.9710515737533569,0.0010000000474974513,0.07972943782806396,0.9778065085411072,0.0679791271686554
13,0.9731200337409973,0.0010000000474974513,0.07756152004003525,0.9728659391403198,0.07194981724023819
14,0.9731004238128662,0.0010000000474974513,0.07701976597309113,0.9778065085411072,0.06813706457614899
15,0.9751100540161133,0.0010000000474974513,0.07503559440374374,0.9748656749725342,0.07207583636045456
16,0.9751100540161133,0.0010000000474974513,0.07474107295274734,0.9772183895111084,0.06887990981340408
17,0.976874589920044,0.0010000000474974513,0.07309284806251526,0.9784339070320129,0.06582099199295044
18,0.9772961139678955,0.0010000000474974513,0.07231960445642471,0.9793357849121094,0.06617046892642975
19,0.9773157238960266,0.0010000000474974513,0.07183261215686798,0.9800023436546326,0.06482209265232086
20,0.9776391983032227,0.0010000000474974513,0.07074803113937378,0.9802768230438232,0.06488277018070221
21,0.9781489968299866,0.0010000000474974513,0.07026290893554688,0.9803944826126099,0.06383699923753738
22,0.9786587357521057,0.0010000000474974513,0.06982947885990143,0.9808650016784668,0.0635068342089653
23,0.979874312877655,0.0010000000474974513,0.06880447268486023,0.9768262505531311,0.0665234625339508
24,0.9803350567817688,0.0010000000474974513,0.0681474432349205,0.9812179207801819,0.06333499401807785
25,0.9804134964942932,0.0010000000474974513,0.06776967644691467,0.9809826016426086,0.063252292573452
26,0.9799429178237915,0.0010000000474974513,0.06773274391889572,0.9824334383010864,0.06164184585213661
27,0.9810016751289368,0.0010000000474974513,0.06709113717079163,0.9803552627563477,0.06522894650697708
28,0.9812957644462585,0.0010000000474974513,0.06621604412794113,0.98153156042099,0.062559574842453
29,0.9814428091049194,0.0010000000474974513,0.06630071997642517,0.9801592230796814,0.06329689174890518
30,0.9815016388893127,0.0010000000474974513,0.06556675583124161,0.9806689620018005,0.06240682676434517
31,0.9818839430809021,0.0010000000474974513,0.0659550130367279,0.9816492199897766,0.06123132258653641
32,0.9823545217514038,0.0010000000474974513,0.06537357717752457,0.9810610413551331,0.0634111613035202
33,0.9826878309249878,0.0010000000474974513,0.06502484530210495,0.9829431772232056,0.06086483970284462
34,0.9824132919311523,0.0010000000474974513,0.0646868348121643,0.9805905222892761,0.06292411684989929
35,0.982697606086731,0.0010000000474974513,0.06443722546100616,0.9819236993789673,0.06227462738752365
36,0.9830309152603149,0.0010000000474974513,0.06426164507865906,0.9856879711151123,0.059032171964645386
37,0.9868246912956238,0.0005000000237487257,0.05872390791773796,0.9847860932350159,0.057219091802835464
38,0.9880304932594299,0.0005000000237487257,0.05727062374353409,0.9872956275939941,0.05556207522749901
39,0.9884617924690247,0.0005000000237487257,0.05679327994585037,0.9867074489593506,0.0546097606420517
40,0.9884912371635437,0.0005000000237487257,0.05683416873216629,0.9870995283126831,0.05421525985002518
41,0.9889323711395264,0.0005000000237487257,0.05627243220806122,0.9872564077377319,0.05376792699098587
42,0.9889323711395264,0.0005000000237487257,0.05612355098128319,0.9870603680610657,0.05409492924809456
43,0.9897754192352295,0.0005000000237487257,0.05546986684203148,0.987413227558136,0.0537513867020607
44,0.9886382818222046,0.0005000000237487257,0.05614275112748146,0.9870211482048035,0.05429816246032715
45,0.9892362356185913,0.0005000000237487257,0.0556892529129982,0.9870995283126831,0.05453919991850853
46,0.9894127249717712,0.0005000000237487257,0.0549209788441658,0.9877661466598511,0.05386795476078987
47,0.9915791749954224,0.00020000000949949026,0.05260997638106346,0.9891777634620667,0.052073415368795395
48,0.9916477799415588,0.00020000000949949026,0.052165936678647995,0.9896875023841858,0.05158736929297447
49,0.9920496940612793,0.00020000000949949026,0.05160578712821007,0.9900012016296387,0.05084959790110588
50,0.9919320940971375,0.00020000000949949026,0.051719795912504196,0.9901188015937805,0.05092136189341545
51,0.9920399188995361,0.00020000000949949026,0.05149293690919876,0.9893345832824707,0.051458168774843216
52,0.9917948246002197,0.00020000000949949026,0.05162135511636734,0.9900012016296387,0.050836946815252304
53,0.9917359948158264,0.00020000000949949026,0.051685310900211334,0.9907069802284241,0.05060335621237755
54,0.9925104379653931,0.00020000000949949026,0.05106199532747269,0.9907069802284241,0.05032811686396599
55,0.9926084876060486,0.00020000000949949026,0.05060452222824097,0.989530622959137,0.050636593252420425
56,0.9919418692588806,0.00020000000949949026,0.05130044370889664,0.9893738031387329,0.05052001774311066
57,0.9926183223724365,0.00020000000949949026,0.05083226040005684,0.9896482825279236,0.05048301815986633
58,0.9922555685043335,0.00020000000949949026,0.050764527171850204,0.9900795817375183,0.05078622326254845
59,0.9926770925521851,0.00020000000949949026,0.05067291855812073,0.9902756810188293,0.05042928829789162
60,0.993010401725769,8.000000525498763e-05,0.05011710897088051,0.9902364611625671,0.04965423420071602
61,0.9929124116897583,8.000000525498763e-05,0.04968452453613281,0.9907462000846863,0.04943659156560898
62,0.9929711818695068,8.000000525498763e-05,0.04985642805695534,0.9907069802284241,0.049106478691101074
63,0.9928633570671082,8.000000525498763e-05,0.04976273328065872,0.9906285405158997,0.04922562837600708
64,0.9933829307556152,8.000000525498763e-05,0.04938386753201485,0.9910598993301392,0.049033500254154205
65,0.9931084513664246,8.000000525498763e-05,0.04954991862177849,0.9908638000488281,0.04895200952887535
66,0.9933927655220032,8.000000525498763e-05,0.04943251982331276,0.9907069802284241,0.049400631338357925
67,0.9928045272827148,8.000000525498763e-05,0.049633778631687164,0.991020679473877,0.049109093844890594
68,0.9937358498573303,8.000000525498763e-05,0.04906434938311577,0.9905109405517578,0.049140166491270065
69,0.9933143258094788,8.000000525498763e-05,0.049625739455223083,0.99055016040802,0.04913390800356865
70,0.9934809803962708,8.000000525498763e-05,0.04937712848186493,0.9909422397613525,0.04885025694966316
71,0.9935594201087952,8.000000525498763e-05,0.04918256029486656,0.9907854199409485,0.04886878281831741
72,0.9932554960250854,8.000000525498763e-05,0.04932123422622681,0.9908245801925659,0.049093928188085556
73,0.9932947158813477,8.000000525498763e-05,0.04927984997630119,0.991020679473877,0.04888899624347687
