epoch,accuracy,distill_loss,learning_rate,loss,student_loss,val_accuracy,val_loss
0,0.9850741624832153,0.016165126115083694,9.999999747378752e-05,0.04334722459316254,0.10677211731672287,0.9856517314910889,0.0
1,0.9880228638648987,0.01856893301010132,9.999999747378752e-05,0.027775339782238007,0.04925695061683655,0.9852869510650635,0.0
2,0.9892387986183167,0.018403198570013046,9.999999747378752e-05,0.020278852432966232,0.024655379354953766,0.986624538898468,0.0
3,0.9910019636154175,0.017675673589110374,9.999999747378752e-05,0.03161998093128204,0.06415669620037079,0.9865029454231262,0.0
4,0.9918531179428101,0.01647741161286831,9.999999747378752e-05,0.026321586221456528,0.049291323870420456,0.9860165119171143,0.0
5,0.9936162233352661,0.015892094001173973,9.999999747378752e-05,0.02002999186515808,0.029685083776712418,0.9846789836883545,0.0
6,0.9948626160621643,0.015750495716929436,4.999999873689376e-05,0.019492385908961296,0.028223462402820587,0.9867461323738098,0.0
7,0.9952577948570251,0.016168858855962753,4.999999873689376e-05,0.023215286433696747,0.039656952023506165,0.9855301380157471,0.0
8,0.9957137703895569,0.017094004899263382,4.999999873689376e-05,0.025876151397824287,0.0463678278028965,0.986624538898468,0.0
9,0.9957745671272278,0.015336652286350727,4.999999873689376e-05,0.028463099151849747,0.0590914785861969,0.9855301380157471,0.0
10,0.9964737296104431,0.015971221029758453,2.499999936844688e-05,0.01877857744693756,0.02532907947897911,0.9873540997505188,0.0
11,0.9966561198234558,0.014027056284248829,2.499999936844688e-05,0.028977321460843086,0.06386127322912216,0.9871109127998352,0.0
12,0.9968993067741394,0.013390444219112396,2.499999936844688e-05,0.018785711377859116,0.031374670565128326,0.9869893193244934,0.0
13,0.9973248839378357,0.01615387573838234,2.499999936844688e-05,0.022258948534727097,0.036504119634628296,0.9867461323738098,0.0
14,0.9972944855690002,0.01655135117471218,1.249999968422344e-05,0.02188083343207836,0.0343162938952446,0.9867461323738098,0.0
15,0.9975984692573547,0.017911793664097786,1.249999968422344e-05,0.021078258752822876,0.02846667915582657,0.9874756932258606,0.0
16,0.9975072741508484,0.011497910134494305,1.249999968422344e-05,0.0241159126162529,0.05355791747570038,0.9863813519477844,0.0
17,0.9976592659950256,0.015397753566503525,1.249999968422344e-05,0.032601553946733475,0.07274375110864639,0.9867461323738098,0.0
18,0.9978720545768738,0.01637113094329834,1.249999968422344e-05,0.026772327721118927,0.05104178935289383,0.986624538898468,0.0
19,0.9979328513145447,0.016911284998059273,6.24999984211172e-06,0.022918593138456345,0.03693564236164093,0.9867461323738098,0.0
20,0.9979328513145447,0.016247402876615524,6.24999984211172e-06,0.01931268721818924,0.02646501548588276,0.9868677258491516,0.0
21,0.9979024529457092,0.01880471780896187,6.24999984211172e-06,0.019591109827160835,0.021426023915410042,0.9868677258491516,0.0
22,0.9981456995010376,0.01658819615840912,3.12499992105586e-06,0.02317456156015396,0.038542747497558594,0.9867461323738098,0.0
23,0.9980544447898865,0.016591638326644897,3.12499992105586e-06,0.0221249982714653,0.03503617271780968,0.9867461323738098,0.0
24,0.998176097869873,0.014350367709994316,3.12499992105586e-06,0.01981869339942932,0.03257811814546585,0.9867461323738098,0.0
25,0.9980544447898865,0.015330731868743896,1.56249996052793e-06,0.027543149888515472,0.05603879690170288,0.986624538898468,0.0
