Model Name,10cls_GRAY Parameters,10cls_GRAY Size_KB,10cls_GRAY Accuracy,10cls_GRAY Inference_Time_ms,10cls_GRAY Inferences_per_second,10cls_GRAY Tested_Images,10cls_RGB Parameters,10cls_RGB Size_KB,10cls_RGB Accuracy,10cls_RGB Inference_Time_ms,10cls_RGB Inferences_per_second,10cls_RGB Tested_Images,100cls_GRAY Parameters,100cls_GRAY Size_KB,100cls_GRAY Accuracy,100cls_GRAY Inference_Time_ms,100cls_GRAY Inferences_per_second,100cls_GRAY Tested_Images,100cls_RGB Parameters,100cls_RGB Size_KB,100cls_RGB Accuracy,100cls_RGB Inference_Time_ms,100cls_RGB Inferences_per_second,100cls_RGB Tested_Images
digit_recognizer_v15,109100.0,79.3,0.9908,0.17,6026.0,56375.0,140000.0,100.0,0.9842,0.17,5750.0,57207.0,113700.0,86.0,0.9018,0.15,6618.0,59782.0,145400.0,107.4,0.905,0.18,5680.0,60614.0
digit_recognizer_v16,244000.0,128.6,0.9904,0.27,3700.0,56375.0,246800.0,128.8,0.992,0.19,5385.0,57207.0,253000.0,139.5,0.926,0.23,4261.0,59782.0,255800.0,139.7,0.9336,0.19,5296.0,60614.0
digit_recognizer_v19,284300.0,131.9,0.9892,0.29,3447.0,56375.0,287200.0,132.2,0.9828,0.2,5084.0,57207.0,296200.0,145.6,0.9163,0.29,3446.0,59782.0,299100.0,146.0,0.9143,0.2,4971.0,60614.0
digit_recognizer_v18,210200.0,97.1,0.9886,0.23,4435.0,56375.0,213000.0,97.4,0.9838,0.15,6524.0,57207.0,220600.0,109.4,0.9022,0.22,4538.0,59782.0,223400.0,109.7,0.894,0.16,6310.0,60614.0
digit_recognizer_v4,79700.0,61.4,0.9864,0.16,6231.0,56375.0,104700.0,78.3,0.9847,0.12,8545.0,57207.0,85800.0,69.5,0.896,0.17,5725.0,59782.0,111500.0,87.1,0.9065,0.12,8448.0,60614.0
digit_recognizer_v17,172900.0,70.7,0.9852,0.19,5200.0,56375.0,175700.0,71.0,0.9805,0.14,7194.0,57207.0,180400.0,80.2,0.8904,0.21,4777.0,59782.0,183300.0,80.5,0.8753,0.14,7122.0,60614.0
digit_recognizer_v3,118400.0,69.4,0.9746,0.16,6295.0,56375.0,71200.0,38.4,0.9658,0.15,6503.0,57207.0,121600.0,74.6,0.8252,0.16,6083.0,59782.0,75900.0,45.1,0.8243,0.16,6174.0,60614.0
digit_recognizer_v7,75600.0,46.7,0.9731,0.16,6383.0,56375.0,78600.0,47.2,0.9659,0.11,8868.0,57207.0,82400.0,55.5,0.8024,0.16,6227.0,59782.0,85500.0,56.0,0.7967,0.11,8824.0,60614.0
original_haverland,234500.0,203.3,0.9659,0.22,4485.0,56375.0,240200.0,203.8,0.9598,0.17,5754.0,57207.0,257899.0,228.2,0.8451,0.24,4234.0,59782.0,263600.0,228.8,0.8383,0.17,5745.0,60614.0
digit_recognizer_v6,61500.0,36.5,0.9385,0.18,5556.0,56375.0,79500.0,46.9,0.9538,0.19,5228.0,57207.0,171800.0,132.5,0.9091,0.4,2494.0,59782.0,209300.0,160.8,0.8944,0.38,2609.0,60614.0
digit_recognizer_v23,N/A,N/A,N/A,N/A,N/A,N/A,82900.0,61.8,0.9874,0.13,7585.0,57207.0,N/A,N/A,N/A,N/A,N/A,N/A,493700.0,427.4,0.9063,0.47,2131.0,60614.0
digit_recognizer_v24,N/A,N/A,N/A,N/A,N/A,N/A,91200.0,68.0,0.9783,0.17,5825.0,57207.0,N/A,N/A,N/A,N/A,N/A,N/A,502000.0,433.6,0.9388,0.5,1991.0,60614.0
digit_recognizer_v27,N/A,N/A,N/A,N/A,N/A,N/A,93100.0,67.8,0.9736,0.18,5649.0,57207.0,N/A,N/A,N/A,N/A,N/A,N/A,503900.0,433.4,0.9165,0.51,1976.0,60614.0
digit_recognizer_v28,N/A,N/A,N/A,N/A,N/A,N/A,93100.0,67.2,0.969,0.15,6840.0,57207.0,N/A,N/A,N/A,N/A,N/A,N/A,503900.0,432.8,0.9241,0.48,2070.0,60614.0
digit_recognizer_v29,N/A,N/A,N/A,N/A,N/A,N/A,102900.0,71.6,0.9768,0.19,5135.0,57207.0,N/A,N/A,N/A,N/A,N/A,N/A,514000.0,437.5,0.9386,0.53,1888.0,60614.0
