epoch,accuracy,distill_loss,learning_rate,loss,student_loss,val_accuracy,val_loss
0,0.5341683030128479,0.02196214348077774,0.0010000000474974513,0.1272948831319809,0.37307125329971313,0.8380350470542908,0.0
1,0.9064019918441772,0.023880621418356895,0.0010000000474974513,0.08331907540559769,0.22200877964496613,0.9176799654960632,0.0
2,0.9410566687583923,0.020158495754003525,0.0010000000474974513,0.08313494175672531,0.23007997870445251,0.9383511543273926,0.0
3,0.9518178701400757,0.01501802634447813,0.0010000000474974513,0.043344512581825256,0.10943964123725891,0.9402967095375061,0.0
4,0.9552225470542908,0.01510241162031889,0.0010000000474974513,0.038873568177223206,0.09433959424495697,0.957198441028595,0.0
5,0.9605119228363037,0.015175019390881062,0.0010000000474974513,0.06252574920654297,0.17301078140735626,0.9533073902130127,0.0
6,0.9632478356361389,0.024286720901727676,0.0010000000474974513,0.028102664276957512,0.03700653091073036,0.9596303701400757,0.0
7,0.9675036668777466,0.018865320831537247,0.0010000000474974513,0.05138741806149483,0.12727230787277222,0.9528210163116455,0.0
8,0.9671388864517212,0.016737647354602814,0.0010000000474974513,0.06921679526567459,0.19166812300682068,0.9558609127998352,0.0
9,0.972823441028595,0.014099727384746075,0.0010000000474974513,0.09161140024662018,0.27247196435928345,0.962427020072937,0.0
10,0.9715163111686707,0.010745162144303322,0.0010000000474974513,0.031227190047502518,0.07901858538389206,0.967534065246582,0.0
11,0.9729450345039368,0.012987066060304642,0.0010000000474974513,0.04752488434314728,0.12811312079429626,0.9614542722702026,0.0
12,0.9746169447898865,0.013244806788861752,0.0010000000474974513,0.021918486803770065,0.04215707629919052,0.9713035225868225,0.0
13,0.9764105081558228,0.015787411481142044,0.0010000000474974513,0.046090882271528244,0.11679896712303162,0.9573200345039368,0.0
14,0.9782952070236206,0.012729329988360405,0.0010000000474974513,0.01473543792963028,0.019416354596614838,0.967534065246582,0.0
15,0.9762281179428101,0.010170855559408665,0.0010000000474974513,0.019981812685728073,0.0428740456700325,0.9738569855690002,0.0
16,0.9804839491844177,0.012526700273156166,0.0010000000474974513,0.019288016483187675,0.035064421594142914,0.970573902130127,0.0
17,0.9789336323738098,0.014026069082319736,0.0010000000474974513,0.015167620033025742,0.017831239849328995,0.9719114899635315,0.0
18,0.9800583720207214,0.012490807101130486,0.0010000000474974513,0.020670680329203606,0.039757050573825836,0.9637646079063416,0.0
19,0.9800887703895569,0.011455481871962547,0.0010000000474974513,0.020398234948515892,0.04126465693116188,0.9657101035118103,0.0
20,0.9811831116676331,0.011207036674022675,0.0010000000474974513,0.019879955798387527,0.04011676087975502,0.9688715934753418,0.0
21,0.9896947741508484,0.010967359878122807,0.0005000000237487257,0.012497314251959324,0.016067206859588623,0.9830982685089111,0.0
22,0.9920659065246582,0.010335540398955345,0.0005000000237487257,0.017857961356639862,0.03541027754545212,0.9799367785453796,0.0
23,0.991913914680481,0.012061222456395626,0.0005000000237487257,0.01363300159573555,0.01730048470199108,0.980301558971405,0.0
24,0.9915187358856201,0.010351636447012424,0.0005000000237487257,0.014282416552305222,0.02345423586666584,0.9788424372673035,0.0
25,0.9926434755325317,0.012592869810760021,0.0005000000237487257,0.014043362811207771,0.017427843064069748,0.9787208437919617,0.0
26,0.9923394918441772,0.010252478532493114,0.0005000000237487257,0.01268838346004486,0.01837215945124626,0.980301558971405,0.0
27,0.9949538111686707,0.010213818401098251,0.0002500000118743628,0.01256764680147171,0.01805991306900978,0.9845573902130127,0.0
28,0.9956225752830505,0.010937195271253586,0.0002500000118743628,0.013046693988144398,0.017968857660889626,0.9839494228363037,0.0
29,0.9964737296104431,0.010489009320735931,0.0002500000118743628,0.011576798744499683,0.014114974066615105,0.9846789836883545,0.0
30,0.997142493724823,0.011487860232591629,0.0002500000118743628,0.012534663081169128,0.014977200888097286,0.9837062358856201,0.0
31,0.9967169165611267,0.011247746646404266,0.0002500000118743628,0.013126690872013569,0.017510894685983658,0.9828550815582275,0.0
32,0.9976896643638611,0.010295064188539982,0.0002500000118743628,0.011980652809143066,0.015913691371679306,0.9846789836883545,0.0
33,0.9968993067741394,0.010571174323558807,0.0002500000118743628,0.01201026514172554,0.01536814495921135,0.9838278293609619,0.0
34,0.9973856806755066,0.009625330567359924,0.0002500000118743628,0.017664596438407898,0.036422885954380035,0.9843142032623291,0.0
35,0.9984800815582275,0.010747900232672691,0.0001250000059371814,0.012044884264469147,0.015071180649101734,0.9846789836883545,0.0
36,0.998784065246582,0.011323793791234493,0.0001250000059371814,0.012065622955560684,0.013796554878354073,0.9863813519477844,0.0
37,0.9986624717712402,0.010779650881886482,0.0001250000059371814,0.011948401108384132,0.014675483107566833,0.986138105392456,0.0
38,0.998784065246582,0.010433094576001167,0.0001250000059371814,0.011759372428059578,0.014854018576443195,0.9862596988677979,0.0
39,0.9990880489349365,0.009825199842453003,0.0001250000059371814,0.011722235009074211,0.016148651018738747,0.9863813519477844,0.0
40,0.9992096424102783,0.011235092766582966,0.0001250000059371814,0.012515529990196228,0.015503216534852982,0.9862596988677979,0.0
41,0.9992400407791138,0.010203436948359013,0.0001250000059371814,0.0122377909719944,0.016984615474939346,0.9856517314910889,0.0
42,0.999392032623291,0.010667812079191208,6.25000029685907e-05,0.012025060132145882,0.015191973187029362,0.986624538898468,0.0
43,0.9996960163116455,0.00954628735780716,6.25000029685907e-05,0.011623343452811241,0.016469806432724,0.9868677258491516,0.0
44,0.9996656179428101,0.009852025657892227,6.25000029685907e-05,0.01167096197605133,0.015915146097540855,0.986138105392456,0.0
45,0.9996960163116455,0.010060807690024376,6.25000029685907e-05,0.011798219755291939,0.015852179378271103,0.986138105392456,0.0
46,0.9998176097869873,0.010467729531228542,6.25000029685907e-05,0.013136419467628002,0.019363362342119217,0.9867461323738098,0.0
47,0.9997872114181519,0.009665966033935547,6.25000029685907e-05,0.011742405593395233,0.016587428748607635,0.9869893193244934,0.0
48,0.9997872114181519,0.009045707993209362,6.25000029685907e-05,0.011271491646766663,0.01646498404443264,0.9868677258491516,0.0
49,0.9997568130493164,0.01074407622218132,6.25000029685907e-05,0.012536800466477871,0.016719823703169823,0.9857733249664307,0.0
50,0.9996656179428101,0.010857849381864071,6.25000029685907e-05,0.011778539046645164,0.013926815241575241,0.987232506275177,0.0
51,0.9998176097869873,0.011258325539529324,6.25000029685907e-05,0.012578446418046951,0.015658728778362274,0.9871109127998352,0.0
52,0.9996960163116455,0.0100675318390131,6.25000029685907e-05,0.011371944099664688,0.014415573328733444,0.986624538898468,0.0
53,0.9996352195739746,0.010111231356859207,6.25000029685907e-05,0.011508376337587833,0.014768380671739578,0.9871109127998352,0.0
