epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.38837629556655884,0.0010000000474974513,0.7767837047576904,0.6595022678375244,0.47741663455963135
1,0.810725748538971,0.0010000000474974513,0.3090955913066864,0.8785350918769836,0.21558509767055511
2,0.8987520933151245,0.0010000000474974513,0.1967993974685669,0.9281674027442932,0.16073311865329742
3,0.9262558817863464,0.0010000000474974513,0.16225335001945496,0.9399038553237915,0.14442159235477448
4,0.9384523034095764,0.0010000000474974513,0.1456776261329651,0.9435803294181824,0.13890022039413452
5,0.9482094049453735,0.0010000000474974513,0.1342049092054367,0.9536198973655701,0.12319328635931015
6,0.96291583776474,0.0005000000237487257,0.11635661870241165,0.9597002267837524,0.11470577865839005
7,0.9656732678413391,0.0005000000237487257,0.11219637840986252,0.963942289352417,0.11185743659734726
8,0.9692791700363159,0.0005000000237487257,0.1077924519777298,0.966770350933075,0.10894846171140671
9,0.9691024422645569,0.0005000000237487257,0.10729874670505524,0.9679015874862671,0.10787218064069748
10,0.9724608659744263,0.0005000000237487257,0.1032927855849266,0.970588207244873,0.10362850874662399
11,0.9732739329338074,0.0005000000237487257,0.10265707224607468,0.973416268825531,0.1019226536154747
12,0.9742637872695923,0.0005000000237487257,0.08738470077514648,0.9684671759605408,0.09176371991634369
13,0.9776222109794617,0.0005000000237487257,0.07624224573373795,0.9654977321624756,0.08567332476377487
14,0.9787181615829468,0.0005000000237487257,0.06789898127317429,0.971578061580658,0.07177098840475082
15,0.9794605374336243,0.0005000000237487257,0.062115926295518875,0.9739819169044495,0.06517129391431808
16,0.9792484045028687,0.0005000000237487257,0.0570828877389431,0.9732748866081238,0.060909025371074677
17,0.9792837500572205,0.0005000000237487257,0.05733201652765274,0.971578061580658,0.06062750145792961
18,0.9812634587287903,0.0005000000237487257,0.055458951741456985,0.9758201241493225,0.059673089534044266
19,0.9797433614730835,0.0005000000237487257,0.05607866495847702,0.9731335043907166,0.06017183139920235
20,0.9810867309570312,0.0004945369437336922,0.05513156205415726,0.9727092981338501,0.06006058305501938
21,0.9816169738769531,0.0004783863842021674,0.05462987348437309,0.9710124731063843,0.061161868274211884
22,0.9830310940742493,0.0004522543167695403,0.05331600829958916,0.9748303294181824,0.05772581696510315
23,0.984233021736145,0.0004172827466391027,0.05275695025920868,0.9773755669593811,0.05685038864612579
24,0.9851521849632263,0.0003750001487787813,0.05173150449991226,0.9783653616905212,0.055468909442424774
25,0.9868844151496887,0.00032725444179959595,0.05066634714603424,0.9775169491767883,0.05487319454550743
26,0.9879096150398254,0.0002761323703452945,0.04963544011116028,0.9783653616905212,0.05551807954907417
27,0.9893590807914734,0.00022386814816854894,0.04862731695175171,0.9777997732162476,0.05505950376391411
28,0.9901014566421509,0.000172746047610417,0.04517241194844246,0.9797794222831726,0.05089513957500458
29,0.9916569590568542,0.00012500036973506212,0.04176982119679451,0.9783653616905212,0.04770016670227051
30,0.9920104742050171,8.271775004686788e-05,0.039383791387081146,0.9804864525794983,0.04461309313774109
31,0.9930710196495056,4.774618719238788e-05,0.03711998835206032,0.9796379804611206,0.04248052462935448
32,0.9931063652038574,2.161410520784557e-05,0.035315100103616714,0.9796379804611206,0.0404260978102684
33,0.9939901828765869,5.4635884225717746e-06,0.03516748175024986,0.9796379804611206,0.04044682905077934
34,0.9838795065879822,0.000450000079581514,0.03974795341491699,0.9745475053787231,0.04315068572759628
35,0.9844451546669006,0.0004487674741540104,0.038899630308151245,0.9739819169044495,0.04241413623094559
36,0.986177384853363,0.0004450832784641534,0.03824741020798683,0.9770927429199219,0.041546277701854706
37,0.9862834811210632,0.0004389877722132951,0.03792300075292587,0.9759615659713745,0.041472919285297394
38,0.9854350090026855,0.0004305478068999946,0.03778338432312012,0.9777997732162476,0.041915129870176315
39,0.9874500632286072,0.0004198558162897825,0.0372217632830143,0.9745475053787231,0.041144225746393204
40,0.9871318936347961,0.0004070289433002472,0.03710046038031578,0.975395917892456,0.041888825595378876
41,0.9879096150398254,0.0003922077012248337,0.0368066281080246,0.9785068035125732,0.0407273955643177
42,0.9880864024162292,0.0003755544894374907,0.0366077683866024,0.9761029481887817,0.04081779718399048
43,0.9895711541175842,0.00035725184716284275,0.036288514733314514,0.9783653616905212,0.0405280627310276
44,0.9889348745346069,0.00033750018337741494,0.03590981662273407,0.9768099784851074,0.04019125923514366
45,0.9892883896827698,0.000316515943268314,0.03611764684319496,0.9802036285400391,0.040174271911382675
46,0.9903489351272583,0.0002945290761999786,0.035709500312805176,0.9806278347969055,0.039454516023397446
47,0.9901721477508545,0.00027178035816177726,0.03550095856189728,0.9803450107574463,0.04017028957605362
48,0.9911620020866394,0.00024851917987689376,0.03504282608628273,0.9794965982437134,0.03929327800869942
49,0.9914094805717468,0.00022500027262140065,0.03495446965098381,0.9789310097694397,0.039928074926137924
50,0.9933538436889648,0.00020148142357356846,0.0345136933028698,0.9799208045005798,0.039425451308488846
