epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.3407587707042694,0.0010000000474974513,0.834580659866333,0.6127484440803528,0.5518735647201538
1,0.6733610033988953,0.0010000000474974513,0.47936639189720154,0.7819054126739502,0.3563271462917328
2,0.7971486449241638,0.0010000000474974513,0.33397290110588074,0.8625085949897766,0.2533886730670929
3,0.8569861650466919,0.0010000000474974513,0.25992318987846375,0.8788211345672607,0.22655357420444489
4,0.8857054710388184,0.0010000000474974513,0.2215784788131714,0.9106237292289734,0.1915370374917984
5,0.9034236669540405,0.0010000000474974513,0.1976483166217804,0.9184373021125793,0.17863266170024872
6,0.9161040186882019,0.0010000000474974513,0.18019257485866547,0.9269362688064575,0.16978615522384644
7,0.9240549802780151,0.0010000000474974513,0.16954348981380463,0.9380397796630859,0.1552986055612564
8,0.9356386661529541,0.0010000000474974513,0.15693219006061554,0.9351610541343689,0.1571497619152069
9,0.9409849643707275,0.0010000000474974513,0.14976996183395386,0.9440712928771973,0.142762690782547
10,0.9439665675163269,0.0010000000474974513,0.14386945962905884,0.9522960782051086,0.13493657112121582
11,0.9578121304512024,0.0005000000237487257,0.12764865159988403,0.9517477750778198,0.13179132342338562
12,0.9604167342185974,0.0005000000237487257,0.12407097965478897,0.9549006223678589,0.12930597364902496
13,0.9622673988342285,0.0005000000237487257,0.12099648267030716,0.9529814720153809,0.1315298229455948
14,0.9646320939064026,0.0005000000237487257,0.11875630915164948,0.9606580138206482,0.1228780522942543
15,0.9663456678390503,0.0005000000237487257,0.11611426621675491,0.9576421976089478,0.12317400425672531
16,0.9675794243812561,0.0005000000237487257,0.11454570293426514,0.9595613479614258,0.12172167748212814
17,0.9691559076309204,0.0005000000237487257,0.11262087523937225,0.959287166595459,0.12114400416612625
18,0.9713149666786194,0.0005000000237487257,0.10987986624240875,0.9646332859992981,0.11602862924337387
19,0.9724802374839783,0.0005000000237487257,0.10873115807771683,0.9636737704277039,0.118024542927742
20,0.9716576933860779,0.0005000000237487257,0.09399348497390747,0.962165892124176,0.10506082326173782
21,0.9740909337997437,0.0005000000237487257,0.0829421728849411,0.9628512859344482,0.09362614154815674
22,0.9759758710861206,0.0005000000237487257,0.07386469095945358,0.9636737704277039,0.0843406543135643
23,0.975427508354187,0.0005000000237487257,0.06817661970853806,0.9623029232025146,0.07842393219470978
24,0.9765927791595459,0.0005000000237487257,0.06226889416575432,0.9646332859992981,0.06943587958812714
